"Beszállító_ID","Ellenőrzés alatt","Cégnév:","Beszállító neve:","Wendor:","Cég címe:","Csomag fogadás cím:","WEB:","Központi elérés Név:","Központi elérés Email:","Központi elérés Tel:","Megszólítás:","Ajánlatkérés Név:","Ajánlatkérés Email:","Ajánlatkérés Tel:","Segítségnyújtás Név:","Segítségnyújtás Email:","Segítségnyújtás Tel:","Hibabejelentés Név:","Hibabejelentés Email:","Hibabejelentés Tel:"
"43","","Hansa-Flex Hidraulika Kft.","Hidramec","411080","H-2821 Gyermely Iskola utca 45.","","https://www.hidra-mechatronika.hu/","Puzsár István","puzsar.istvan@hidra-mechatronika.hu; mechatronikakft@gmail.com","+36 (20) 478 2509","","Puzsár István","puzsar.istvan@hidra-mechatronika.hu; mechatronikakft@gmail.com","+36 (20) 478 2509","Puzsár István","puzsar.istvan@hidra-mechatronika.hu; mechatronikakft@gmail.com","+36 (20) 478 2509","","",""
"44","","","Hidro-Mobil 410980","","","","","","","","","","btamas@hidro-mobil.hu","","","","","","",""
"45","","","Hidropress 411096","","","","","","","","","Fényes Gábor","kozp@hidropress.hu; fenyes.gabor@hidropress.hu","+36 (20) 255 4579","","","","","",""
"122","","","Hilti 410620","","","","","","","","","Viszlay Zoltán","zoltan.viszlay@hilti.com","","","","","","",""
"46","","","Hoffmann 405682","","","","","","","","","Selina Nordmann","selina.nardmann@hoffmann-filter.de","","","","","","",""
"47","","","Hydac 410719","","","","","","","","","Patasi Zsolt","zsolt.patassy@hydac.hu","","","","","","",""
"48","","","Ifm elect. 412413","","","","","","","","","info + Molnár Eszter","info.hu@ifm.com; eszter.molnar@ifm.com","","Szalai Pál","pal.szalai@ifm.com","","","",""
"49","","","Igus 400892","","","","","","","","","Vasvári Adrián","avasvari@igus.de","","Kárász Krisztián","kkarasz@igus.de","","","",""
"50","","Az IMEX Filtertechnika Kft","Imex","411129","H-9400 Sopron Tárczy-Hornoch Antal u. 8","","https://imex.filtertechnika.hu/","","","","","info + Győrfi István","info@imex.filtertechnika.hu; i.gyorfi@imex.filtertechnika.hu","+36 (30) 720 4677","Győrfi István","i.gyorfi@imex.filtertechnika.hu","+36 (30) 720 4677","","",""
"51","","","IMI Norgren 410725","","","","","","","","","Hunyadi Zoltán","zoltan.hunyadi@imi-precision.hu","","","","","","",""
"52","","","Infocontrol 411074","","","","","","","","","","","","","","","","",""
"118","","","Infranorm 419546","","","","","","","","","Raffael Neufeld","neufeld@infranorm.com","","","","","","",""
"53","","","Innomatik 411553","","","","","","","","","","info@innomatik.hu","","","","","","",""
"54","","","Inox 410854","","","","","","","","","Nyirádi Márk","nyiradi@inox.hu","","","","","","",""
"55","","iPon Computer Kft. ","iPon Computer","416606","","","","","","","","Hoppál Norbert","info@ipon.hu","","","","","","",""
"130","","Jankovits Engineering","Jankovits 421157","","H-9027 Győr Ipari Park Juharfa u. 3.","","","","","","","Szabó László","szabo.laszlo@jankovits.hu","+36 (30) 685 5760 ","","","","","",""
"56","","","JAP 419360","","","","","","","","","Nemes Pál","japservice.kozpont@gmail.com","","","","","","",""
"57","","","Jola 401805","","","","","","","","","","contact@jola-info.de","","","","","","",""
"58","","","Kaiser 410645","","","","","","","","","Knurr Zoltán","zoltan.knurr@kaiserkraft.hu","","","","","","",""
"87","","Kardex Hungaria Kft. ","Kardex","411202","H-2040 Budaörs Szabadság út ","","www.kardex.com ","","","","","Illés Adrienn ","adrienn.illes@kardex.com  ","+36 (23) 414 011","Fenyő Adrienn"," adrienn.fenyo@kardex.com; info.remstar.hu@kardex.com","","","service.remstar.hu@kardex.com",""
"59","","","Keller 411094","","","","","","","","","","","","","","","","",""
"60","","KL-SYSTEM Kft.","KL-System 411436","411436","H-2700 Cegléd Külső Kátai út 96.","","www.kl-system.hu","Majoros Zsolt","kl-system@kl-system.hu","","","Baráth Ferenc","barath.feenc@kl-system.hu;bf@kl-system.hu","+36 (30) 492 4030","","","","","",""
"61","","","Knoll 401684","","","","","","","","","","","","","","","","",""
"62","","KSB Hungary Kft.","KSB","411084","H-1117 Budapest Budafoki út 60","","https://www.ksb.com/hu-hu","","","","","Info + Szakács Gergely","ksbinfo.hungary@ksb.com; gergely.szakacs@ksb.com","+36(30) 966 6820","Szakács Gergely","gergely.szakacs@ksb.com","+36(30) 966 6820","Rózsa Richard","richard.rozsa@ksb.com","+36 (20) 523 0786"
"111","","","Label Trade 419135","","","","","","","","","Seres Gábor","gabor.seres@labeltrade.hu","","","","","","",""
"63","","","Lammers 416110","","","","","","","","","Krausz Krisztián","krausz.krisztian@triodamotor.hu","","","","","","",""
"64","","LG Technologies Kft","LG technologies ","420063","H-4551 Nyíregyháza Platán u. 5","","https://lgtechnologies.hu/hu/","Kasza László","kasza.laszlo@lgtechnologies.hu","+36 (70) 300 1465","","Info + Bódi Miklós","info@lgtechnologies.hu; bodi.miklos@lgtechnologies.hu","+36 (70) 402 0282","","","","","",""
"65","","","Liechti","","","","","","","","","Thomas Niklaus","thomas.niklaus@georgfischer.com; liechti.service@georgfischer.com;liechti.hu.smb.ms@georgfischer.com","","","","","","",""
"66","","","Mechanitec 418193","","","","","","","","","Karsay Sándor","karsay.sandor@mechanitec.hu","","","","","","",""
"88","","Messer Hungarogáz Kft.","Messer 410583","","H-1044 Budapest Váci út 117.","","","","","","","Marlok Bence Sebő","bence.marlok@messer.hu","+36 (70) 335 1247","","","","","",""
"67","","","Mobil Complex 410926","","","","","","","","","","","","","","","","",""
"68","","","Murrelektronik 416888","","","","","","","","","Hrubiák Róbert","robert.hrubiak@murrelektronik.hu","","","","","","",""
"69","","","Nagev 417767","","","","","","","","","","","","","","","","",""
"70","","NCT Ipari Elektronikai Zrt.            ","NCT","410966","H-1148 Budapes Fogarasi út 7.","","https://www.nct.hu/","Bakos Máté","bakosm@nct.hu","+36 (30) 337 2980","","info + Tari Viktória","Tari Viktória; sales5@nct.hu","+36 (3) 410 8141","Bakos Máté","bakosm@nct.hu","+36 (30) 337 2980","","hibabejelentes@nct.hu","+36 (30) 682-0346"
"71","","","NTK 410925","","","","","","","","","info + Horváth Krisztián","info@ntk-kft.hu; horvath.krisztian@ntk-kft.hu","","","","","","",""
"125","","Pannon Csapágy Kft.","Pannon cs.","1001883173","H-2045 Törökbálint Tó u. 1/A","","https://pannoncsapagy.hu/","","","","","Korodi Éva","korodi.e@pannoncsapagy.hu","+36 (20) 480 3419","Nagy Attila","attila.nagy@schaeffler.com","+36 (30) 944 7104","","",""
"73","","","Pemü 411100","","","","","","","","","","bertae@pemu.hu","","","","","","",""
"74","","","Pepperl 416923","","","","","","","","","Németh Balázs","bnemeth@hu.pepperl-fuchs.com","","","","","","",""
"75","","","Pfannemberg 416468","","","","","","","","","Maik Heitmann","maik.heitmann@pfannenberg.com","","","","","","",""
"76","","","Pfeifer-Garant 418714","","","","","","","","","Kronavetter Tamas","kronavetter.tamas@pfeifer-garant.hu","","","","","","",""
"77","","","Phoenix 410899","","","","","","","","","Babják Zsolt","phoenixhu@phoenixcontact.com","","","","","","",""
"78","","","Plastio Kft. 419986","","","","","","","","","Kiss Sándor","info@plastio.hu","","","","","","",""
"79","","","Power Belt 418727","","","","","","","","","Urbán Gábor","urban.gabor@powerbelt.hu","","","","","","",""
"80","","Premium-S Kft.","Prémium-S","411509","H-6035 Ballószög Wass Albert utca 25.","","https://premium-s.hu/","","premium@premium-s.hu","","","Molnár Dóra","dora.molnar@premium-s.hu","+36 (20) 342 9095","","","","","",""
"123","","","Pure Air 418522","","","","","","","","","Geszti Sándor","sandor@pure-air.hu","","","","","","",""
"81","","","Rema 417173","","","","","","","","","","","","","","","","",""
"82","","","Renishaw 410405 420197","","","","","","","","","Gáll Attila","attila.gal@renishaw.com; hungary@renishaw.com","","","","","","",""
"83","","","Revi 410901","","H-3073 Tar Ilona major 1","H-3073 Tar Ilona major 1","","Székely Norbert","revikft@revi.hu","","","Székely Norbert; Revicki István","revikft@revi.hu; szekelyn@revi.hu","+36 (70) 343 532","","","","","",""
"84","","Bosch Rexroth Hajtás- és Vezérléstechnika Kft.","Rexroth 410668","","H-1103 Budapest Gyömrői út 104","","","","","","","Pászti Károly","karoly.paszti@boschrexroth.hu; sales@boschrexroth.hu","","","","","","",""
"85","","","RS Components 411575","","","","","","","","","Stummer Krisztián","krisztian.stummer@rs-components.com","","","","","","",""
"9","","Rubix Magyarország Kft.","Rubix 410995","","H-2045 Törökbálint Tópark u. 9.","","https://rubix.com ","","","","","Kasztel Gyöngyi","gyongyi.kasztel@rubix.com","","","","","","",""
"134","","","RUF 32833758","","","","","","","","","Erwin Bader","erwin.bader@brikettieren.de","","","","","","",""
"86","","","Safety 411471","","","","","","","","","","","","","","","","",""
"136","","","Sandviken 420841","","","","","","","","","Gyemendi Zoltán","szerviz@sandviken.hu","","","","","","",""
"121","","SCHUNK Intec Kft.","Schunk ","419120","H-2040 Budaörs Edison utca 3.","","https://schunk.com/hu/en","Juhász Miklós","miklos.juhasz@hu.schunk.com","+36 (30) 080 4749","","Nehéz Viktória","viktoria.nehez@hu.schunk.com","+36 (30) 155 7041","Juhász Miklós","miklos.juhasz@hu.schunk.com","+36 (30) 080 4749","","",""
"87","","","SHR 418885","","","","","","","","","","office@shr.at","","","","","","",""
"90","","","Siemens 419883","","","","","","","","","Hoffman Vivien","vivien.hoffmann@siemens.com; ipar.szerviz.hu@siemens.com","","","","","","",""
"91","","","SMC 411012","","","","","","","","","","sales@smc.hu","","","","","","",""
"92","","","Spinex 417827","","","","","","","","","","","","","","","","",""
"93","","","Starrag 500224","","","","","","","","","Filippo Laconi","filippo.laconi@starrag.com","","","","","","",""
"94","","","Stasto 419199","","","","","","","","","Fedur Oszkár","oszkar.fedur@stasto.eu","","","","","","",""
"95","","","Steinbock 419751","","","","","","","","","","","","","","","","",""
"96","","","Stock & Go 417324","","","","","","","","","","","","","","","Horváth Péter","peter.horvath@stockngo.hu","+36 (70) 908 3131"
"97","","","Super Seal 410865","","","","","","","","","Szőke Sándor","info@superseal.hu; rendeles@superseal.hu","","","","","","",""
"98","","","Szimikron 410934","","","","","","","","","Gáspár Nikoletta","gaspar.nikoletta@szimikron.com; info@szimikron.com","","","","","","",""
"99","","","Tech Masters 410592","","","","","","","","","Hernáczki Attila","attila.hernaczki@tech-masters.eu","","","","","","",""
"100","","","Tool-Word 419082","","","","","","","","","Stracz Péter","peter.stracz@tool-world.hu","","","","","","",""
"101","","","Tral Trade 411578","","","","","","","","","Szilágyi Dezső","szilagyi.dezso@traltrade.hu","","","","","","",""
"114","","","Triasz-Tömlő 411207","","","","","","","","","Vita Zsuzsanna","triasz09@triasztomlo.hu","","","","","","",""
"112","","","Ulbrich Kft. 416327","","","","","","","","","Pilisi Sándor","sandor@ulbrich.hu","","","","","","",""
"102","","","Unis 415260","","","","","","","","","","","","","","","","",""
"103","","","Uno-Trade 410732","","","","","","","","","Kozma Antal","kozmauno@unotrade.hu","","","","","","",""
"104","","","Villtek 410690","","","","","","","","","","","","","","","","",""
"105","","","Volán Autódaru 410775","","","","","","","","","","","","","","","","",""
"106","","","Vonalkód 417139","","","","","","","","","","","","","","","","",""
"107","","Innomotics GmbH WEISS Spindeltechnologie","Weiss 419875","","Birkenfelder Weg 14 96126 Maroldsweisach / Germany","","www.innomotics.com","","","","","Russel Anthony","anthony.russell@innomotics.com","+49 9532 9229-444 ","","","","","",""
"115","","","Wenglor 411493","","","","","","","","","","","","","","","","",""
"139","","","Wüerth 411731","","","","","","","","","","","","","","","","",""
"135","","","Zarges 411555","","","","","","","","","Fabok Sándor","Sandor.Fabok@zarges.hu","","","","","","",""
